prompt,io_name,s_name,io_token,s_token
"When Kevin and Mark went to the store, Mark gave a bottle of milk to",Kevin,Mark,7939,2940
"When David and Nancy went to the store, Nancy gave a bottle of milk to",David,Nancy,3271,18496
"When James and Emily went to the store, Emily gave a bottle of milk to",James,Emily,3700,17608
"When John and Rachel went to the store, Rachel gave a bottle of milk to",John,Rachel,1757,15984
"When Michael and Alice went to the store, Alice gave a bottle of milk to",Michael,Alice,3899,14862
"When Steven and Emily went to the store, Emily gave a bottle of milk to",Steven,Emily,8239,17608
"When Laura and Karen went to the store, Karen gave a bottle of milk to",Laura,Karen,16753,18678
"When Sarah and David went to the store, David gave a bottle of milk to",Sarah,David,10490,3271
"When Emma and Jason went to the store, Jason gave a bottle of milk to",Emma,Jason,18966,8982
"When Mary and Alice went to the store, Alice gave a bottle of milk to",Mary,Alice,5335,14862
"When Karen and Tom went to the store, Tom gave a bottle of milk to",Karen,Tom,18678,4186
"When Nancy and Steven went to the store, Steven gave a bottle of milk to",Nancy,Steven,18496,8239
"When Emily and Mary went to the store, Mary gave a bottle of milk to",Emily,Mary,17608,5335
"When Jason and Kevin went to the store, Kevin gave a bottle of milk to",Jason,Kevin,8982,7939
"When Mark and Helen went to the store, Helen gave a bottle of milk to",Mark,Helen,2940,22695
"When Lisa and Susan went to the store, Susan gave a bottle of milk to",Lisa,Susan,15378,14919
"When Bob and John went to the store, John gave a bottle of milk to",Bob,John,5811,1757
"When Alice and Mark went to the store, Mark gave a bottle of milk to",Alice,Mark,14862,2940
"When James and Lisa went to the store, Lisa gave a bottle of milk to",James,Lisa,3700,15378
"When Alice and Daniel went to the store, Daniel gave a bottle of milk to",Alice,Daniel,14862,7806
"When Bob and Laura went to the store, Laura gave a bottle of milk to",Bob,Laura,5811,16753
"When Jason and Alice went to the store, Alice gave a bottle of milk to",Jason,Alice,8982,14862
"When John and James went to the store, James gave a bottle of milk to",John,James,1757,3700
"When Sarah and Steven went to the store, Steven gave a bottle of milk to",Sarah,Steven,10490,8239
"When James and Rachel went to the store, Rachel gave a bottle of milk to",James,Rachel,3700,15984
"When Karen and Mary went to the store, Mary gave a bottle of milk to",Karen,Mary,18678,5335
"When Helen and Susan went to the store, Susan gave a bottle of milk to",Helen,Susan,22695,14919
"When John and Scott went to the store, Scott gave a bottle of milk to",John,Scott,1757,4746
"When Emma and Lisa went to the store, Lisa gave a bottle of milk to",Emma,Lisa,18966,15378
"When Alice and Jason went to the store, Jason gave a bottle of milk to",Alice,Jason,14862,8982
"When Michael and Bob went to the store, Bob gave a bottle of milk to",Michael,Bob,3899,5811
"When Emily and Bob went to the store, Bob gave a bottle of milk to",Emily,Bob,17608,5811
"When Mark and Jessica went to the store, Jessica gave a bottle of milk to",Mark,Jessica,2940,17352
"When Laura and Emma went to the store, Emma gave a bottle of milk to",Laura,Emma,16753,18966
"When Sarah and Mary went to the store, Mary gave a bottle of milk to",Sarah,Mary,10490,5335
"When Jacob and Robert went to the store, Robert gave a bottle of milk to",Jacob,Robert,12806,5199
"When Alice and Steven went to the store, Steven gave a bottle of milk to",Alice,Steven,14862,8239
"When Daniel and James went to the store, James gave a bottle of milk to",Daniel,James,7806,3700
"When Michael and Laura went to the store, Laura gave a bottle of milk to",Michael,Laura,3899,16753
"When Eric and Rachel went to the store, Rachel gave a bottle of milk to",Eric,Rachel,7651,15984
"When Anna and Jason went to the store, Jason gave a bottle of milk to",Anna,Jason,11735,8982
"When Eric and Helen went to the store, Helen gave a bottle of milk to",Eric,Helen,7651,22695
"When Kevin and Sarah went to the store, Sarah gave a bottle of milk to",Kevin,Sarah,7939,10490
"When Steven and Susan went to the store, Susan gave a bottle of milk to",Steven,Susan,8239,14919
"When James and Brian went to the store, Brian gave a bottle of milk to",James,Brian,3700,8403
"When Susan and Sarah went to the store, Sarah gave a bottle of milk to",Susan,Sarah,14919,10490
"When Nancy and Sarah went to the store, Sarah gave a bottle of milk to",Nancy,Sarah,18496,10490
"When David and Jacob went to the store, Jacob gave a bottle of milk to",David,Jacob,3271,12806
"When Lisa and Helen went to the store, Helen gave a bottle of milk to",Lisa,Helen,15378,22695
"When Robert and Susan went to the store, Susan gave a bottle of milk to",Robert,Susan,5199,14919
"When Sarah and John went to the store, John gave a bottle of milk to",Sarah,John,10490,1757
"When Emma and Eric went to the store, Eric gave a bottle of milk to",Emma,Eric,18966,7651
"When Kevin and Nancy went to the store, Nancy gave a bottle of milk to",Kevin,Nancy,7939,18496
"When Jacob and Helen went to the store, Helen gave a bottle of milk to",Jacob,Helen,12806,22695
"When Jessica and Mark went to the store, Mark gave a bottle of milk to",Jessica,Mark,17352,2940
"When Laura and Daniel went to the store, Daniel gave a bottle of milk to",Laura,Daniel,16753,7806
"When Jason and Susan went to the store, Susan gave a bottle of milk to",Jason,Susan,8982,14919
"When Michael and Tom went to the store, Tom gave a bottle of milk to",Michael,Tom,3899,4186
"When John and Robert went to the store, Robert gave a bottle of milk to",John,Robert,1757,5199
"When David and Rachel went to the store, Rachel gave a bottle of milk to",David,Rachel,3271,15984
"When Mary and Scott went to the store, Scott gave a bottle of milk to",Mary,Scott,5335,4746
"When Emily and Brian went to the store, Brian gave a bottle of milk to",Emily,Brian,17608,8403
"When Lisa and Jessica went to the store, Jessica gave a bottle of milk to",Lisa,Jessica,15378,17352
"When Susan and Laura went to the store, Laura gave a bottle of milk to",Susan,Laura,14919,16753
"When Mark and Nancy went to the store, Nancy gave a bottle of milk to",Mark,Nancy,2940,18496
"When Lisa and Tom went to the store, Tom gave a bottle of milk to",Lisa,Tom,15378,4186
"When Steven and Jessica went to the store, Jessica gave a bottle of milk to",Steven,Jessica,8239,17352
"When Daniel and Rachel went to the store, Rachel gave a bottle of milk to",Daniel,Rachel,7806,15984
"When Mark and Bob went to the store, Bob gave a bottle of milk to",Mark,Bob,2940,5811
"When John and Lisa went to the store, Lisa gave a bottle of milk to",John,Lisa,1757,15378
"When James and Steven went to the store, Steven gave a bottle of milk to",James,Steven,3700,8239
"When David and Sarah went to the store, Sarah gave a bottle of milk to",David,Sarah,3271,10490
"When Emily and Mark went to the store, Mark gave a bottle of milk to",Emily,Mark,17608,2940
"When Robert and Daniel went to the store, Daniel gave a bottle of milk to",Robert,Daniel,5199,7806
"When Steven and Eric went to the store, Eric gave a bottle of milk to",Steven,Eric,8239,7651
"When Susan and Kevin went to the store, Kevin gave a bottle of milk to",Susan,Kevin,14919,7939
"When Nancy and Emma went to the store, Emma gave a bottle of milk to",Nancy,Emma,18496,18966
"When Mary and Daniel went to the store, Daniel gave a bottle of milk to",Mary,Daniel,5335,7806
"When Kevin and Emma went to the store, Emma gave a bottle of milk to",Kevin,Emma,7939,18966
"When Brian and Susan went to the store, Susan gave a bottle of milk to",Brian,Susan,8403,14919
"When Steven and Mary went to the store, Mary gave a bottle of milk to",Steven,Mary,8239,5335
"When Sarah and Robert went to the store, Robert gave a bottle of milk to",Sarah,Robert,10490,5199
"When Bob and Michael went to the store, Michael gave a bottle of milk to",Bob,Michael,5811,3899
"When Steven and Sarah went to the store, Sarah gave a bottle of milk to",Steven,Sarah,8239,10490
"When Robert and Jacob went to the store, Jacob gave a bottle of milk to",Robert,Jacob,5199,12806
"When Eric and Anna went to the store, Anna gave a bottle of milk to",Eric,Anna,7651,11735
"When Lisa and Brian went to the store, Brian gave a bottle of milk to",Lisa,Brian,15378,8403
"When John and Eric went to the store, Eric gave a bottle of milk to",John,Eric,1757,7651
"When Mary and Anna went to the store, Anna gave a bottle of milk to",Mary,Anna,5335,11735
"When David and Jessica went to the store, Jessica gave a bottle of milk to",David,Jessica,3271,17352
"When Jason and Robert went to the store, Robert gave a bottle of milk to",Jason,Robert,8982,5199
"When Jason and Eric went to the store, Eric gave a bottle of milk to",Jason,Eric,8982,7651
"When Karen and Emma went to the store, Emma gave a bottle of milk to",Karen,Emma,18678,18966
"When James and Scott went to the store, Scott gave a bottle of milk to",James,Scott,3700,4746
"When Jason and Rachel went to the store, Rachel gave a bottle of milk to",Jason,Rachel,8982,15984
"When Tom and John went to the store, John gave a bottle of milk to",Tom,John,4186,1757
"When Daniel and Susan went to the store, Susan gave a bottle of milk to",Daniel,Susan,7806,14919
"When John and Steven went to the store, Steven gave a bottle of milk to",John,Steven,1757,8239
"When Brian and John went to the store, John gave a bottle of milk to",Brian,John,8403,1757
"When Jacob and Lisa went to the store, Lisa gave a bottle of milk to",Jacob,Lisa,12806,15378
"When Alice and James went to the store, James gave a bottle of milk to",Alice,James,14862,3700
"When Alice and Lisa went to the store, Lisa gave a bottle of milk to",Alice,Lisa,14862,15378
"When Mark and James went to the store, James gave a bottle of milk to",Mark,James,2940,3700
"When Nancy and Jessica went to the store, Jessica gave a bottle of milk to",Nancy,Jessica,18496,17352
"When Michael and Steven went to the store, Steven gave a bottle of milk to",Michael,Steven,3899,8239
"When Sarah and Alice went to the store, Alice gave a bottle of milk to",Sarah,Alice,10490,14862
"When Anna and Nancy went to the store, Nancy gave a bottle of milk to",Anna,Nancy,11735,18496
"When Helen and Daniel went to the store, Daniel gave a bottle of milk to",Helen,Daniel,22695,7806
"When John and Michael went to the store, Michael gave a bottle of milk to",John,Michael,1757,3899
"When Helen and Robert went to the store, Robert gave a bottle of milk to",Helen,Robert,22695,5199
"When Karen and Alice went to the store, Alice gave a bottle of milk to",Karen,Alice,18678,14862
"When Nancy and Michael went to the store, Michael gave a bottle of milk to",Nancy,Michael,18496,3899
"When Tom and Mark went to the store, Mark gave a bottle of milk to",Tom,Mark,4186,2940
"When Jacob and Jason went to the store, Jason gave a bottle of milk to",Jacob,Jason,12806,8982
"When Mark and Laura went to the store, Laura gave a bottle of milk to",Mark,Laura,2940,16753
"When Alice and Nancy went to the store, Nancy gave a bottle of milk to",Alice,Nancy,14862,18496
"When Tom and Michael went to the store, Michael gave a bottle of milk to",Tom,Michael,4186,3899
"When Nancy and John went to the store, John gave a bottle of milk to",Nancy,John,18496,1757
"When Mary and James went to the store, James gave a bottle of milk to",Mary,James,5335,3700
"When Laura and Kevin went to the store, Kevin gave a bottle of milk to",Laura,Kevin,16753,7939
"When Helen and Nancy went to the store, Nancy gave a bottle of milk to",Helen,Nancy,22695,18496
"When Mary and Nancy went to the store, Nancy gave a bottle of milk to",Mary,Nancy,5335,18496
"When Rachel and Steven went to the store, Steven gave a bottle of milk to",Rachel,Steven,15984,8239
"When Anna and Steven went to the store, Steven gave a bottle of milk to",Anna,Steven,11735,8239
"When Mark and Eric went to the store, Eric gave a bottle of milk to",Mark,Eric,2940,7651
"When Robert and Mark went to the store, Mark gave a bottle of milk to",Robert,Mark,5199,2940
"When Emma and Laura went to the store, Laura gave a bottle of milk to",Emma,Laura,18966,16753
"When Nancy and Scott went to the store, Scott gave a bottle of milk to",Nancy,Scott,18496,4746
"When Daniel and Kevin went to the store, Kevin gave a bottle of milk to",Daniel,Kevin,7806,7939
"When Jessica and John went to the store, John gave a bottle of milk to",Jessica,John,17352,1757
"When David and Karen went to the store, Karen gave a bottle of milk to",David,Karen,3271,18678
"When Laura and Steven went to the store, Steven gave a bottle of milk to",Laura,Steven,16753,8239
"When Brian and Lisa went to the store, Lisa gave a bottle of milk to",Brian,Lisa,8403,15378
"When Mary and Michael went to the store, Michael gave a bottle of milk to",Mary,Michael,5335,3899
"When Sarah and Tom went to the store, Tom gave a bottle of milk to",Sarah,Tom,10490,4186
"When Kevin and Jessica went to the store, Jessica gave a bottle of milk to",Kevin,Jessica,7939,17352
"When Scott and Tom went to the store, Tom gave a bottle of milk to",Scott,Tom,4746,4186
"When Anna and Rachel went to the store, Rachel gave a bottle of milk to",Anna,Rachel,11735,15984
"When Emily and Helen went to the store, Helen gave a bottle of milk to",Emily,Helen,17608,22695
"When Mary and Jessica went to the store, Jessica gave a bottle of milk to",Mary,Jessica,5335,17352
"When Sarah and Nancy went to the store, Nancy gave a bottle of milk to",Sarah,Nancy,10490,18496
"When Jacob and Rachel went to the store, Rachel gave a bottle of milk to",Jacob,Rachel,12806,15984
"When Bob and Jessica went to the store, Jessica gave a bottle of milk to",Bob,Jessica,5811,17352
"When Emma and Alice went to the store, Alice gave a bottle of milk to",Emma,Alice,18966,14862
"When Alice and Scott went to the store, Scott gave a bottle of milk to",Alice,Scott,14862,4746
"When Anna and David went to the store, David gave a bottle of milk to",Anna,David,11735,3271
"When Jason and Karen went to the store, Karen gave a bottle of milk to",Jason,Karen,8982,18678
"When Karen and David went to the store, David gave a bottle of milk to",Karen,David,18678,3271
"When Anna and Emma went to the store, Emma gave a bottle of milk to",Anna,Emma,11735,18966
"When Susan and Eric went to the store, Eric gave a bottle of milk to",Susan,Eric,14919,7651
"When Tom and Helen went to the store, Helen gave a bottle of milk to",Tom,Helen,4186,22695
"When Sarah and Mark went to the store, Mark gave a bottle of milk to",Sarah,Mark,10490,2940
"When Kevin and Daniel went to the store, Daniel gave a bottle of milk to",Kevin,Daniel,7939,7806
"When Karen and Mark went to the store, Mark gave a bottle of milk to",Karen,Mark,18678,2940
"When Bob and Karen went to the store, Karen gave a bottle of milk to",Bob,Karen,5811,18678
"When Rachel and Emily went to the store, Emily gave a bottle of milk to",Rachel,Emily,15984,17608
"When John and Alice went to the store, Alice gave a bottle of milk to",John,Alice,1757,14862
"When Daniel and Scott went to the store, Scott gave a bottle of milk to",Daniel,Scott,7806,4746
"When Jacob and Jessica went to the store, Jessica gave a bottle of milk to",Jacob,Jessica,12806,17352
"When Robert and Helen went to the store, Helen gave a bottle of milk to",Robert,Helen,5199,22695
"When Anna and Karen went to the store, Karen gave a bottle of milk to",Anna,Karen,11735,18678
"When Kevin and Steven went to the store, Steven gave a bottle of milk to",Kevin,Steven,7939,8239
"When Susan and James went to the store, James gave a bottle of milk to",Susan,James,14919,3700
"When Emma and Bob went to the store, Bob gave a bottle of milk to",Emma,Bob,18966,5811
"When Laura and Emily went to the store, Emily gave a bottle of milk to",Laura,Emily,16753,17608
"When Michael and Kevin went to the store, Kevin gave a bottle of milk to",Michael,Kevin,3899,7939
"When Brian and Sarah went to the store, Sarah gave a bottle of milk to",Brian,Sarah,8403,10490
"When Emma and James went to the store, James gave a bottle of milk to",Emma,James,18966,3700
"When Laura and Alice went to the store, Alice gave a bottle of milk to",Laura,Alice,16753,14862
